"","region","watershed","family","genus","epithet","code","Trans","Number"
"71","ValleMagdalena","TolimaS","POLYGONACEAE","Coccoloba","obovata","Coccobov","High",7
"72","Caribe","Bolivar","POLYGONACEAE","Coccoloba","sp","Coccsp","High",1
"73","Caribe","Bolivar","BIXACEAE","Cochlospermum","vitifolium","Cochviti","High",5
"74","Caribe","Guajira","BIXACEAE","Cochlospermum","vitifolium","Cochviti","High",4
"75","ValleCauca","Valle del Cauca","RUBIACEAE","Coffea","arabica","Coffarab","High",12
"76","Caribe","Guajira","COMBRETACEAE","Combretum","sp3","Combsp3","High",2
"77","Caribe","Bolivar","CORDIACEAE","Cordia","alliodora","Cordalli","High",81
"78","ValleMagdalena","Huila","CORDIACEAE","Cordia","alliodora","Cordalli","High",34
"79","Caribe","Bolivar","CORDIACEAE","Cordia","bicolor","Cordbico","High",7
"80","Caribe","Guajira","CORDIACEAE","Cordia","bicolor","Cordbico","High",24
"81","Caribe","Guajira","CORDIACEAE","Cordia","sp1","Cordsp1","High",6
"82","Caribe","Bolivar","CORDIACEAE","Cordia","sp3","Cordsp3","High",3
"83","ValleCauca","Valle del Cauca","RUBIACEAE","Cosmibuena","grandiflora","Cosmgran","High",1
"84","Caribe","Bolivar","FABACEAE","Coursetia","ferruginea","Courferr","High",43
"85","ValleMagdalena","Huila","RUBIACEAE","Coutarea","hexandra","Couthexa","High",10
"86","ValleMagdalena","TolimaS","RUBIACEAE","Coutarea","hexandra","Couthexa","High",49
"87","ValleCauca","Valle del Cauca","ASTERACEAE","Critonia","morifolia","Critmori","High",48
"88","ValleMagdalena","TolimaS","EUPHORBIACEAE","Croton","schiedeanus","Crotschi","High",5
"89","ValleCauca","Valle del Cauca","EUPHORBIACEAE","Croton","sp2","Crotsp2","High",8
"90","Caribe","Bolivar","SAPINDACEAE","Cupania","americana","Cupaamer","High",6
"91","Caribe","Guajira","SAPINDACEAE","Cupania","americana","Cupaamer","High",66
"92","ValleMagdalena","Huila","SAPINDACEAE","Cupania","cinerea","Cupacine","High",5
"93","Caribe","Bolivar","SAPINDACEAE","Cupania","sp1","Cupasp1","High",11
"94","ValleMagdalena","Huila","DILLENIACEAE","Curatella","americana","Curaamer","High",5
"95","ValleCauca","Valle del Cauca","CAPPARACEAE","Cynophalla","amplissima","Cynoampl","High",6
"96","ValleMagdalena","Huila","CAPPARACEAE","Cynophalla","polyantha","Cynopoly","High",8
"97","ValleCauca","Valle del Cauca","CAPPARACEAE","Cynophalla","polyantha","Cynopoly","High",1
